""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"label"
"128110"	0.403305785123967	0.533884297520661	0.373553719008264	0.431404958677686	0.236363636363636	0.00826446280991736	0.00661157024793388	0.00495867768595041	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128120"	0.385987261146497	0.643312101910828	0.523566878980892	0.335031847133758	0.0522292993630573	0.0394904458598726	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128123"	0.325	0.663461538461538	0.465384615384615	0.386538461538462	0.0846153846153846	0.0230769230769231	0.0442307692307692	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128124"	0.316129032258064	0.553225806451613	0.406451612903226	0.503225806451613	0.151612903225806	0.0209677419354839	0.0370967741935484	0.00806451612903226	0.00161290322580645	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128137"	0.236781609195402	0.733333333333333	0.416091954022988	0.425287356321839	0.147126436781609	0.00689655172413793	0.00229885057471264	0.00919540229885057	0.00689655172413793	0.00689655172413793	0.00459770114942529	0	0.00229885057471264	1e-05	1e-05	1e-05	"c"
"128142"	0.391111111111111	0.653333333333333	0.413333333333333	0.257777777777778	0.257777777777778	0.00444444444444444	0.00444444444444444	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128143"	0.340625	0.678125	0.4875	0.31875	0.125	0.0125	0.0125	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"396607"	0.412962962962963	0.675925925925926	0.407407407407407	0.312962962962963	0.146296296296296	0.0111111111111111	0.0222222222222222	0.00740740740740741	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"396608"	0.371966527196653	0.789539748953975	0.611715481171548	0.0903765690376569	0.117573221757322	0.0117154811715481	0.00334728033472803	0.000836820083682008	0.00125523012552301	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559195"	0.416393442622951	0.626229508196721	0.416393442622951	0.275409836065574	0.188524590163934	0.0131147540983607	0.0114754098360656	0.0344262295081967	0.0147540983606557	0.00163934426229508	0	0	0	1e-05	1e-05	1e-05	"c"
